"Date","Easting","Northing","Elevation","Longitude","Latitude"
2018-12-07,2640698.27428213,1112132.01911283,2834.4846,7.96549905,46.1594396
2018-12-09,2640698.27012199,1112132.01725169,2834.4679,7.965499,46.15943958
2018-12-11,2640698.26638969,1112132.01455786,2834.4728,7.96549895,46.15943956
2018-12-13,2640698.26619636,1112132.00988796,2834.47185,7.96549895,46.15943952
2018-12-15,2640698.26581013,1112132.00965553,2834.47545,7.96549894,46.15943951
2018-12-17,2640698.2627169,1112132.01041916,2834.4715,7.9654989,46.15943952
2018-12-19,2640698.26133392,1112132.00940521,2834.4702,7.96549888,46.15943951
2018-12-21,2640698.26024352,1112132.01040309,2834.4774,7.96549887,46.15943952
2019-07-12,2640698.06281125,1112131.98328654,2834.4072,7.96549631,46.15943929
2019-07-13,2640698.06306222,1112131.9859643,2834.41585,7.96549631,46.15943931
2019-07-15,2640698.06198881,1112131.99018229,2834.4241,7.9654963,46.15943935
2019-07-16,2640698.06147046,1112131.98872473,2834.4285,7.96549629,46.15943934
2019-07-17,2640698.06231495,1112131.98951375,2834.4269,7.9654963,46.15943935
2019-07-18,2640698.0597494,1112131.99015793,2834.4246,7.96549627,46.15943935
2019-07-19,2640698.05869032,1112131.98959538,2834.421,7.96549626,46.15943935
2019-07-20,2640698.05661436,1112131.98747084,2834.423,7.96549623,46.15943933
2019-07-21,2640698.05777455,1112131.98681474,2834.4211,7.96549624,46.15943932
2019-07-22,2640698.05600533,1112131.98611667,2834.4182,7.96549622,46.15943932
2019-07-23,2640698.05353344,1112131.98612081,2834.4221,7.96549619,46.15943932
2019-07-24,2640698.05138321,1112131.9866787,2834.4246,7.96549616,46.15943932
2019-07-25,2640698.05097311,1112131.98764186,2834.41895,7.96549616,46.15943933
2019-07-26,2640698.05087424,1112131.9895192,2834.4202,7.96549616,46.15943935
2019-07-27,2640698.04676876,1112131.98629339,2834.41415,7.9654961,46.15943932
2019-07-28,2640698.04615339,1112131.98630116,2834.4107,7.96549609,46.15943932
2019-07-29,2640698.04393695,1112131.98650432,2834.4047,7.96549607,46.15943932
2019-07-30,2640698.04372236,1112131.98637968,2834.4071,7.96549606,46.15943932
2019-07-31,2640698.0418076,1112131.98548001,2834.405,7.96549604,46.15943931
2019-08-01,2640698.04142733,1112131.98593036,2834.4052,7.96549603,46.15943931
2019-08-02,2640698.04025148,1112131.98502499,2834.4033,7.96549602,46.15943931
2019-08-04,2640698.04171245,1112131.98601821,2834.4041,7.96549604,46.15943932
2019-08-05,2640698.03993541,1112131.98535045,2834.4044,7.96549601,46.15943931
2019-08-06,2640698.03962903,1112131.98568757,2834.40045,7.96549601,46.15943931
2019-08-07,2640698.03781373,1112131.98612419,2834.3998,7.96549599,46.15943932
2019-08-08,2640698.03457683,1112131.98420643,2834.4025,7.96549594,46.1594393
2019-08-10,2640698.03133044,1112131.98975371,2834.4071,7.9654959,46.15943935
2019-08-11,2640698.03003254,1112131.98785461,2834.4161,7.96549589,46.15943933
2019-08-12,2640698.0282141,1112131.99018075,2834.408,7.96549586,46.15943935
2019-08-13,2640698.02768904,1112131.98955846,2834.4096,7.96549586,46.15943935
2019-08-14,2640698.02715241,1112131.98638512,2834.4065,7.96549585,46.15943932
2019-08-15,2640698.02652953,1112131.98157971,2834.4015,7.96549584,46.15943928
2019-08-16,2640698.02387033,1112131.9834209,2834.4009,7.96549581,46.15943929
2019-08-17,2640698.02153742,1112131.98245917,2834.3932,7.96549578,46.15943928
2019-08-18,2640698.02026546,1112131.98265818,2834.3956,7.96549576,46.15943929
2019-08-19,2640698.01870151,1112131.98376048,2834.3948,7.96549574,46.1594393
2019-08-20,2640698.01966166,1112131.97997885,2834.3953,7.96549575,46.15943926
2019-08-21,2640698.01608966,1112131.98230292,2834.394,7.96549571,46.15943928
2019-08-22,2640698.01693751,1112131.98119206,2834.3942,7.96549572,46.15943927
2019-08-23,2640698.01517687,1112131.98083862,2834.3977,7.96549569,46.15943927
2019-08-24,2640698.01524256,1112131.98241382,2834.3979,7.96549569,46.15943928
2019-08-25,2640698.01323601,1112131.98045085,2834.3963,7.96549567,46.15943927
2019-08-26,2640698.01258538,1112131.98094149,2834.39965,7.96549566,46.15943927
2019-08-27,2640698.01152763,1112131.98275068,2834.3962,7.96549565,46.15943929
2019-08-28,2640698.01211034,1112131.98205779,2834.3972,7.96549565,46.15943928
2019-08-29,2640698.01503245,1112131.97857558,2834.4106,7.96549569,46.15943925
2019-08-30,2640698.00864953,1112131.97915873,2834.3978,7.96549561,46.15943926
2019-09-01,2640698.00799144,1112131.98112703,2834.4048,7.9654956,46.15943927
2019-09-02,2640698.00846163,1112131.98503614,2834.4106,7.96549561,46.15943931
2019-09-03,2640698.00749365,1112131.98312952,2834.4095,7.96549559,46.15943929
2019-09-04,2640698.00733916,1112131.98325053,2834.4051,7.96549559,46.15943929
2019-09-05,2640698.00308835,1112131.98666395,2834.4149,7.96549554,46.15943932
2019-09-06,2640698.00277564,1112131.98333008,2834.41935,7.96549553,46.15943929
2019-09-07,2640698.00317194,1112131.98443757,2834.4064,7.96549554,46.1594393
2019-09-08,2640698.0014617,1112131.98365735,2834.4023,7.96549552,46.1594393
2019-09-09,2640697.99915026,1112131.98264859,2834.4025,7.96549549,46.15943929
2019-09-10,2640697.99866963,1112131.98553962,2834.4004,7.96549548,46.15943931
2019-09-11,2640697.99790909,1112131.98164398,2834.4032,7.96549547,46.15943928
2019-09-12,2640697.99567416,1112131.98083085,2834.3956,7.96549544,46.15943927
2019-09-13,2640697.99457593,1112131.97707656,2834.3968,7.96549543,46.15943924
2019-09-14,2640697.9931825,1112131.97891439,2834.3957,7.96549541,46.15943925
2019-09-15,2640697.99114867,1112131.97633872,2834.39685,7.96549538,46.15943923
2019-09-16,2640697.99129608,1112131.97623195,2834.3975,7.96549538,46.15943923
2019-09-17,2640697.99065493,1112131.97514934,2834.398,7.96549538,46.15943922
2019-09-18,2640697.99033587,1112131.97468655,2834.3986,7.96549537,46.15943922
2019-09-19,2640697.98972424,1112131.97457591,2834.3973,7.96549536,46.15943921
2019-09-21,2640697.9845745,1112131.98253873,2834.394,7.9654953,46.15943929
2019-09-22,2640697.98385467,1112131.9839262,2834.39825,7.96549529,46.1594393
2019-09-23,2640697.98139098,1112131.98386077,2834.3988,7.96549526,46.1594393
2019-09-24,2640697.97977588,1112131.98345149,2834.4008,7.96549523,46.1594393
2019-09-25,2640697.98023004,1112131.98462855,2834.3963,7.96549524,46.15943931
2019-09-26,2640697.97952289,1112131.98506336,2834.39885,7.96549523,46.15943931
2019-09-29,2640697.97868958,1112131.98077527,2834.4032,7.96549522,46.15943927
2019-09-30,2640697.97817868,1112131.9804033,2834.406,7.96549521,46.15943927
2019-10-01,2640697.97639455,1112131.9792782,2834.4056,7.96549519,46.15943926
2019-10-02,2640697.97691812,1112131.98304842,2834.4052,7.9654952,46.15943929
2019-10-04,2640697.97215456,1112131.98508396,2834.4009,7.96549514,46.15943931
2019-10-05,2640697.96550308,1112131.96806547,2834.3806,7.96549505,46.15943916
2019-10-06,2640697.97124012,1112131.98545256,2834.3999,7.96549512,46.15943931
2019-10-07,2640697.9684945,1112131.98576739,2834.4006,7.96549509,46.15943932
2019-10-08,2640697.96642376,1112131.99121285,2834.405,7.96549506,46.15943937
2019-10-12,2640697.96374905,1112131.98273411,2834.3882,7.96549503,46.15943929
2019-10-13,2640697.96324322,1112131.98022024,2834.3932,7.96549502,46.15943927
2019-10-14,2640697.96199864,1112131.97782245,2834.3957,7.965495,46.15943925
2019-10-15,2640697.95838264,1112131.98180464,2834.3998,7.96549496,46.15943928
2019-10-16,2640697.95826342,1112131.98024395,2834.39465,7.96549496,46.15943927
2019-10-17,2640697.95653842,1112131.97843929,2834.3919,7.96549493,46.15943925
2019-10-18,2640697.95691197,1112131.97791963,2834.3941,7.96549494,46.15943925
