"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2017-01-26,2590187.67408553,1169888.11313049,1312.001,7.31038844,46.6801425,12.9
2017-01-27,2590187.6740059,1169888.11101984,1312.0044,7.31038844,46.68014248,12.7
2017-01-28,2590187.67324318,1169888.11257668,1312.0034,7.31038843,46.6801425,12.8
2017-01-29,2590187.67400902,1169888.11290791,1312.0054,7.31038844,46.6801425,12.9
2017-01-30,2590187.68103384,1169888.10946552,1312.0235,7.31038853,46.68014247,12.6
2017-01-31,2590187.67080146,1169888.11691633,1311.9987,7.31038839,46.68014254,12.4
2017-02-02,2590187.67247021,1169888.10796345,1312.0138,7.31038842,46.68014246,12.7
2017-02-04,2590187.67117173,1169888.11035662,1312.011,7.3103884,46.68014248,12.5
2017-02-05,2590187.67046812,1169888.10847335,1312.0187,7.31038839,46.68014246,12.3
2017-02-06,2590187.66038199,1169888.10887277,1312.0129,7.31038826,46.68014246,12.4
2017-02-07,2590187.65427681,1169888.10227828,1312.0072,7.31038818,46.6801424,12.4
2017-02-08,2590187.6471201,1169888.09227707,1311.9877,7.31038808,46.68014231,12.3
2017-02-09,2590187.6534741,1169888.09471365,1312.0088,7.31038817,46.68014234,12.4
2017-02-10,2590187.65109881,1169888.09115834,1312.0071,7.31038814,46.6801423,12.6
2017-02-12,2590187.66313561,1169888.10447803,1312.0299,7.31038829,46.68014242,12.7
2017-02-13,2590187.66108395,1169888.11626547,1311.9839,7.31038827,46.68014253,12.7
2017-02-14,2590187.66031225,1169888.11104241,1312.019,7.31038826,46.68014248,12.7
2017-02-15,2590187.65947724,1169888.11259874,1312.00265,7.31038825,46.6801425,12.8
2017-02-16,2590187.65762396,1169888.10871169,1312.0084,7.31038822,46.68014246,12.8
2017-02-17,2590187.65663849,1169888.10993616,1312.0101,7.31038821,46.68014247,12.6
2017-02-18,2590187.65670639,1169888.10782437,1312.0149,7.31038821,46.68014245,12.7
2017-02-19,2590187.65487693,1169888.10771283,1312.0164,7.31038818,46.68014245,12.8
2017-02-20,2590187.65728186,1169888.10704766,1312.02615,7.31038822,46.68014245,12.8
2017-02-21,2590187.6578233,1169888.11082455,1312.01925,7.31038822,46.68014248,12.6
2017-02-22,2590187.65387744,1169888.10810639,1312.014,7.31038817,46.68014246,12.8
2017-02-23,2590187.65067254,1169888.11283607,1311.9995,7.31038813,46.6801425,12.8
2017-02-24,2590187.65013138,1169888.10889086,1312.01065,7.31038812,46.68014246,12.8
2017-02-25,2590187.64951646,1169888.10794626,1312.0063,7.31038812,46.68014246,12.8
2017-02-26,2590187.6427964,1169888.1149616,1312.0042,7.31038803,46.68014252,12.8
2017-02-27,2590187.59075232,1169885.31925579,1311.7405,7.31038741,46.68011737,12.8
2017-02-28,2590187.64080476,1169888.11418634,1312.0062,7.310388,46.68014251,12.8
2017-03-01,2590187.64218542,1169888.11440703,1311.9982,7.31038802,46.68014251,12.9
2017-03-02,2590187.63739356,1169888.11035771,1311.9985,7.31038796,46.68014248,12.8
2017-03-03,2590187.64237422,1169888.11329095,1311.99765,7.31038802,46.6801425,12.9
2017-03-04,2590187.63667541,1169888.11608789,1312.0046,7.31038795,46.68014253,12.8
2017-03-05,2590187.63545015,1169888.1151978,1312.0035,7.31038793,46.68014252,12.8
2017-03-06,2590187.64616257,1169888.11606318,1312.0022,7.31038807,46.68014253,12.8
2017-03-07,2590187.6453851,1169888.10807085,1312.0092,7.31038806,46.68014246,12.8
2017-03-08,2590187.64852989,1169888.10883988,1312.001,7.3103881,46.68014246,12.9
2017-03-09,2590187.63905052,1169888.1198576,1312.002,7.31038798,46.68014256,12.8
2017-03-10,2590187.63759756,1169888.11708045,1311.9989,7.31038796,46.68014254,12.9
2017-03-11,2590187.63360988,1169888.11420083,1311.99555,7.31038791,46.68014251,12.8
2017-03-12,2590187.63360869,1169888.11386122,1311.9991,7.31038791,46.68014251,12.9
2017-03-16,2590187.627259,1169888.11955599,1312.001,7.31038782,46.68014256,12.8
2017-03-17,2590187.62382603,1169888.11711014,1311.997,7.31038778,46.68014254,12.9
2017-03-18,2590188.54861524,1169889.19200965,1312.0373,7.31039984,46.68015222,12.6
2017-03-19,2590187.62007887,1169888.11633689,1312.004,7.31038773,46.68014253,12.8
2017-03-20,2590187.62014943,1169888.11400025,1312.01275,7.31038773,46.68014251,12.9
2017-03-23,2590187.61073209,1169888.11434793,1311.9959,7.31038761,46.68014251,12.8
2017-03-24,2590187.61104418,1169888.1149008,1311.98995,7.31038761,46.68014252,12.8
2017-03-25,2590187.60805278,1169888.11234977,1312.0007,7.31038757,46.68014249,12.9
2017-03-26,2590187.60790709,1169888.1155731,1311.9951,7.31038757,46.68014252,12.6
2017-03-28,2590187.60002563,1169888.11380572,1311.9999,7.31038747,46.68014251,12.8
2017-03-29,2590187.59596785,1169888.11281165,1312.0018,7.31038742,46.6801425,12.8
2017-03-30,2590187.59742402,1169888.11470312,1311.99915,7.31038743,46.68014252,12.8
2017-03-31,2590187.59607795,1169888.10981261,1312.00555,7.31038742,46.68014247,12.8
2017-04-01,2590187.58909212,1169888.11605174,1311.99915,7.31038732,46.68014253,12.7
2017-04-02,2590187.58663491,1169888.11460784,1312.0019,7.31038729,46.68014251,12.7
2017-04-03,2590187.58396036,1169888.11583634,1312.0008,7.31038726,46.68014253,12.8
2017-04-04,2590187.58212796,1169888.11761765,1312.0008,7.31038723,46.68014254,12.8
2017-04-05,2590187.54121188,1169888.08188972,1311.87725,7.3103867,46.68014222,12.8
2017-04-06,2590187.5736271,1169888.11368435,1311.99335,7.31038712,46.68014251,12.8
2017-04-07,2590187.57045707,1169888.11608124,1311.9986,7.31038708,46.68014253,12.8
2017-04-08,2590187.56298717,1169888.11208883,1311.99245,7.31038698,46.68014249,12.8
2017-04-09,2590187.56552583,1169888.11820236,1311.992,7.31038702,46.68014255,12.9
2017-04-10,2590187.55687269,1169888.11421461,1311.9959,7.3103869,46.68014251,12.9
2017-04-11,2590187.55618501,1169888.11309992,1311.9987,7.31038689,46.6801425,12.8
2017-04-12,2590187.55114213,1169888.11755931,1311.9948,7.31038683,46.68014254,12.9
2017-04-13,2590187.5487694,1169888.11978756,1311.9958,7.3103868,46.68014256,12.8
2017-04-14,2590187.5434783,1169888.11979475,1311.991,7.31038673,46.68014256,12.9
2017-04-15,2590187.54142572,1169888.1187974,1311.9839,7.3103867,46.68014255,12.8
2017-04-16,2590187.53959305,1169888.12174647,1311.9888,7.31038668,46.68014258,12.6
2017-04-17,2590187.53638228,1169888.12125025,1311.9875,7.31038664,46.68014257,12.9
2017-04-18,2590187.5287256,1169888.12081958,1311.9841,7.31038654,46.68014257,12.8
2017-04-19,2590187.5262727,1169888.11637808,1311.9863,7.3103865,46.68014253,12.8
2017-04-20,2590187.51767814,1169888.12450541,1311.9804,7.31038639,46.6801426,12.8
2017-04-21,2590187.51698149,1169888.11827995,1311.9813,7.31038638,46.68014255,12.9
2017-04-22,2590187.51533946,1169888.11994966,1311.9828,7.31038636,46.68014256,12.9
2017-04-23,2590187.5116667,1169888.11984631,1311.98325,7.31038631,46.68014256,12.9
2017-04-24,2590187.50898747,1169888.12129387,1311.9769,7.31038628,46.68014257,12.9
2017-04-25,2590187.50815301,1169888.12440887,1311.97605,7.31038627,46.6801426,12.7
2017-04-26,2590187.5035602,1169888.12263922,1311.9743,7.31038621,46.68014258,12.7
2017-04-27,2590187.49905619,1169888.12465018,1311.9784,7.31038615,46.6801426,12.9
2017-04-28,2590187.48734282,1169888.12422291,1311.9673,7.31038599,46.6801426,12.8
2017-04-29,2590187.49262202,1169888.12437995,1311.981,7.31038606,46.6801426,12.8
2017-04-30,2590187.48566565,1169888.12900427,1311.9841,7.31038597,46.68014264,12.9
2017-05-01,2590187.48091525,1169888.12546049,1311.9732,7.31038591,46.68014261,12.9
2017-05-02,2590187.47946339,1169888.12767525,1311.9866,7.31038589,46.68014263,12.9
2017-05-04,2590187.46699243,1169888.12769939,1311.97755,7.31038573,46.68014263,12.8
2017-05-05,2590187.45876367,1169888.12427139,1311.9699,7.31038562,46.6801426,12.9
2017-05-06,2590187.45774946,1169888.12275311,1311.9968,7.31038561,46.68014259,12.7
2017-05-07,2590187.45447507,1169888.12505781,1311.97705,7.31038557,46.68014261,12.7
2017-05-08,2590187.45023802,1169888.12650556,1311.9775,7.31038551,46.68014262,12.6
2017-05-09,2590187.43537858,1169888.12953132,1311.9635,7.31038532,46.68014265,12.8
2017-05-10,2590187.42911904,1169888.12431633,1311.9752,7.31038523,46.6801426,12.9
2017-05-11,2590187.42413985,1169888.11976859,1311.9808,7.31038517,46.68014256,12.9
2017-05-12,2590187.42092624,1169888.12188214,1311.9822,7.31038513,46.68014258,12.9
2017-05-13,2590187.41910117,1169888.12889786,1311.96945,7.3103851,46.68014264,12.9
2017-05-14,2590187.41125038,1169888.12373303,1311.9804,7.310385,46.68014259,12.9
2017-05-15,2590187.39468778,1169888.12638434,1311.97405,7.31038478,46.68014262,12.9
2017-05-16,2590187.3889575,1169888.12805278,1311.9662,7.31038471,46.68014263,12.9
2017-05-17,2590187.3926486,1169888.09380705,1311.9451,7.31038476,46.68014232,12.9
