"Date","Easting","Northing","Elevation","Longitude","Latitude"
2018-09-28,2561652.78519473,1158105.17972563,980.58125,6.93842347,46.57311737
2018-09-29,2561652.7837428,1158105.17738336,980.5777,6.93842345,46.57311734
2018-09-30,2561652.7852029,1158105.1807212,980.58075,6.93842347,46.57311738
2018-10-01,2561652.77813665,1158105.17781874,980.5763,6.93842337,46.57311735
2018-10-02,2561652.77973657,1158105.1760935,980.5763,6.9384234,46.57311733
2018-10-03,2561652.77781966,1158105.17070672,980.57805,6.93842337,46.57311728
2018-10-04,2561652.78422652,1158105.17739561,980.56945,6.93842345,46.57311734
