"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2016-10-21,2590105.860972,1169796.8805628,1310.2638,7.30932111,46.6793206,12.8
2016-10-22,2590105.86119562,1169796.8806896,1310.2667,7.30932111,46.6793206,13.9
2016-10-24,2590105.85163375,1169796.87785594,1310.2705,7.30932099,46.67932058,14
2016-10-25,2590106.28383494,1169797.05522599,1310.20955,7.30932663,46.67932218,12.5
2016-10-26,2590105.89904736,1169796.84103613,1310.37495,7.30932161,46.67932025,12.5
2016-10-27,2590105.83733355,1169796.88260308,1310.3404,7.3093208,46.67932062,14.2
2016-10-28,2590105.86358781,1169796.86610676,1310.2705,7.30932114,46.67932047,13.6
2016-10-29,2590105.85736933,1169796.87722838,1310.2598,7.30932106,46.67932057,13.6
2016-10-30,2590105.86430931,1169796.86655251,1310.2561,7.30932115,46.67932048,13.7
2016-10-31,2590105.85896128,1169796.86843865,1310.2806,7.30932108,46.67932049,13.7
2016-11-01,2590105.83412192,1169796.88372047,1310.2465,7.30932076,46.67932063,13.6
2016-11-02,2590105.85881491,1169796.87189575,1310.3124,7.30932108,46.67932053,14.5
2016-11-03,2590105.82497736,1169796.88334536,1310.27395,7.30932064,46.67932063,14.7
2016-11-04,2590105.81562653,1169796.89597917,1310.2581,7.30932051,46.67932074,13.8
2016-11-05,2590106.4761094,1169796.94084936,1310.03225,7.30932915,46.67932115,12.7
2016-11-06,2590105.8343099,1169796.85043895,1310.2741,7.30932076,46.67932033,12.3
2016-11-07,2590106.56762786,1169796.0953289,1310.7399,7.30933036,46.67931355,12.8
2016-11-08,2590106.29457592,1169796.61237495,1310.5195,7.30932678,46.6793182,12.4
2016-11-09,2590105.71129184,1169796.72795705,1310.1849,7.30931915,46.67931923,12.6
2016-11-10,2590105.79546114,1169796.87016637,1310.26365,7.30932025,46.67932051,12.3
2016-11-11,2590105.83528977,1169796.84914423,1310.3008,7.30932077,46.67932032,12.5
2016-11-12,2590106.62706735,1169796.82847458,1310.5742,7.30933112,46.67932015,14.1
2016-11-13,2590106.17191744,1169796.87622879,1310.2728,7.30932517,46.67932057,13.5
2016-11-14,2590105.74703232,1169796.41040193,1311.1732,7.30931963,46.67931637,12.8
2016-11-15,2590106.10928024,1169796.89771463,1310.5869,7.30932435,46.67932076,14.5
2016-11-16,2590106.30817227,1169796.29936207,1311.20435,7.30932697,46.67931538,12.9
2016-11-17,2590106.43253944,1169796.66650634,1310.7215,7.30932858,46.67931869,13.8
2016-11-18,2590105.8076665,1169796.89404875,1310.309,7.30932041,46.67932072,12.2
2016-11-19,2590105.81476403,1169796.88319539,1310.3153,7.3093205,46.67932063,13.4
2016-11-20,2590105.83891162,1169796.54298569,1310.4978,7.30932083,46.67931757,13.6
2016-11-21,2590106.33445964,1169795.842694,1311.1929,7.30932732,46.67931127,12.5
2016-11-22,2590105.76973642,1169796.90417072,1310.3002,7.30931991,46.67932081,12.6
2016-11-23,2590105.7831052,1169796.89369996,1310.2982,7.30932009,46.67932072,12.1
2016-11-24,2590105.76414132,1169796.90340006,1310.3095,7.30931984,46.67932081,12.3
2016-11-26,2590105.75164501,1169796.9149765,1310.3137,7.30931968,46.67932091,12.5
2016-11-27,2590105.75424085,1169796.92787487,1310.2972,7.30931971,46.67932103,14.1
2016-11-28,2590105.74604307,1169796.92137659,1310.2889,7.3093196,46.67932097,14.8
2016-11-30,2590105.73117824,1169796.9443663,1310.2912,7.30931941,46.67932117,14.4
2016-12-01,2590105.72913462,1169796.94303586,1310.28385,7.30931938,46.67932116,14.3
2016-12-02,2590105.72602816,1169796.93948177,1310.28265,7.30931934,46.67932113,14.3
2016-12-03,2590105.72432847,1169796.94405237,1310.3053,7.30931932,46.67932117,14.4
2016-12-04,2590105.71910073,1169796.96250666,1310.2943,7.30931925,46.67932134,14.3
2016-12-05,2590105.72954823,1169796.94025542,1310.33095,7.30931939,46.67932114,14.3
2016-12-06,2590106.10553602,1169796.5322042,1310.9268,7.30932431,46.67931747,14.3
2016-12-07,2590105.70684231,1169796.95441413,1310.2924,7.30931909,46.67932126,14.3
2016-12-08,2590105.71406318,1169796.94984003,1310.2668,7.30931919,46.67932122,12.9
2016-12-09,2590105.70155528,1169796.95620652,1310.304,7.30931902,46.67932128,13
2016-12-10,2590106.2229195,1169796.84055281,1310.4493,7.30932584,46.67932025,12.9
2016-12-11,2590105.70145668,1169796.95520895,1310.226,7.30931902,46.67932127,12.8
2016-12-12,2590105.68941401,1169796.96111018,1310.2839,7.30931886,46.67932132,13
2016-12-13,2590105.69216435,1169796.9587734,1310.2525,7.3093189,46.6793213,13
2016-12-15,2590105.68988305,1169796.96109162,1310.2621,7.30931887,46.67932132,12.9
2016-12-16,2590105.68721218,1169796.96900161,1310.2904,7.30931884,46.6793214,12.9
2016-12-17,2590105.67771648,1169796.97347204,1310.31235,7.30931871,46.67932144,13
2016-12-18,2590105.670605,1169796.98053843,1310.32255,7.30931862,46.6793215,13
2016-12-19,2590105.65839036,1169796.98228483,1310.3254,7.30931846,46.67932151,12.9
2016-12-22,2590105.64004452,1169796.94907515,1310.2122,7.30931822,46.67932122,12.8
2016-12-23,2590106.60573974,1169796.8374157,1310.6336,7.30933084,46.67932023,12.8
2016-12-24,2590108.33241984,1169797.23452583,1309.99225,7.3093534,46.67932382,12.8
2016-12-25,2590106.61038956,1169796.82707009,1310.6653,7.3093309,46.67932013,12.8
2016-12-26,2590106.60291344,1169796.84053294,1310.601,7.30933081,46.67932025,12.9
2016-12-27,2590106.60930924,1169796.84480275,1310.65505,7.30933089,46.67932029,12.8
2016-12-28,2590106.42664842,1169796.85094195,1310.5035,7.3093285,46.67932035,12.8
2016-12-29,2590106.31430325,1169796.8583552,1310.4019,7.30932703,46.67932041,12.9
2016-12-30,2590106.59954132,1169796.83736933,1310.66045,7.30933076,46.67932023,12.8
2016-12-31,2590106.40867214,1169796.71512591,1310.8642,7.30932827,46.67931912,12.9
2017-01-02,2590106.41000607,1169796.73513373,1310.8367,7.30932829,46.6793193,12.9
2017-01-03,2590105.6553584,1169796.9556116,1310.3163,7.30931842,46.67932127,12.8
2017-01-05,2590106.39022647,1169796.71126571,1310.7663,7.30932803,46.67931909,12.2
2017-01-06,2590107.97338439,1169795.82619322,1312.4355,7.30934874,46.67931115,12.8
2017-01-07,2590105.64228883,1169796.96441244,1310.2665,7.30931825,46.67932135,12.8
2017-01-09,2590105.65893208,1169796.94270662,1310.3058,7.30931847,46.67932116,12.9
2017-01-10,2590105.81467845,1169796.90098325,1310.47215,7.3093205,46.67932079,12.5
2017-01-12,2590106.35678328,1169796.98251227,1310.45285,7.30932759,46.67932153,12.1
2017-01-15,2590105.66055968,1169796.96004898,1310.2382,7.30931849,46.67932132,11.9
2017-01-16,2590105.6510109,1169796.98735385,1310.19795,7.30931836,46.67932156,12.3
2017-01-17,2590105.66101933,1169796.93247643,1310.289,7.30931849,46.67932107,12.1
2017-01-18,2590105.6524005,1169796.96761377,1310.2336,7.30931838,46.67932138,12.6
2017-01-19,2590105.65335856,1169796.97101662,1310.24345,7.30931839,46.67932141,12.6
2017-01-22,2590105.62819304,1169796.97132568,1310.2717,7.30931806,46.67932142,12.8
2017-01-23,2590105.62484132,1169796.96288522,1310.2974,7.30931802,46.67932134,12.8
2017-01-24,2590105.63429385,1169796.98627466,1310.2737,7.30931814,46.67932155,12.8
2017-01-25,2590105.63195453,1169796.98565199,1310.27245,7.30931811,46.67932155,12.8
2017-01-27,2590105.62594646,1169796.96723267,1310.3008,7.30931803,46.67932138,12.8
2017-01-28,2590105.62392187,1169796.97271901,1310.2893,7.30931801,46.67932143,12.9
2017-01-29,2590105.69145814,1169796.931757,1310.47865,7.30931889,46.67932106,12.9
2017-01-31,2590106.41540972,1169797.22448129,1310.1739,7.30932835,46.67932371,12.3
2017-02-02,2590105.60635378,1169796.98003455,1310.2229,7.30931778,46.67932149,12.8
2017-02-03,2590105.61309092,1169796.97913575,1310.2182,7.30931787,46.67932149,12.8
2017-02-04,2590105.64534688,1169796.96430255,1310.2255,7.30931829,46.67932135,12.6
2017-02-05,2590105.59795761,1169796.96876488,1310.19445,7.30931767,46.67932139,12.3
2017-02-06,2590105.10985894,1169797.8134807,1310.0303,7.30931126,46.67932898,12.2
