"Date","Easting","Northing","Elevation","Longitude","Latitude"
2018-09-28,2561649.35546957,1158094.63090185,980.01425,6.93837961,46.57302228
2018-09-29,2561649.35531127,1158094.63212171,980.00975,6.93837961,46.57302229
2018-09-30,2561649.35507703,1158094.6310086,980.0063,6.9383796,46.57302228
2018-10-01,2561649.35253195,1158094.62813967,980.0036,6.93837957,46.57302225
2018-10-02,2561649.35598843,1158094.62900079,980.0125,6.93837961,46.57302226
2018-10-03,2561649.35702898,1158094.62511448,980.0042,6.93837963,46.57302223
2018-10-04,2561649.35875851,1158094.63164299,980.0123,6.93837965,46.57302229
2018-10-17,2561649.3576977,1158094.63466425,980.0135,6.93837964,46.57302231
2018-10-18,2561649.35520556,1158094.63567747,980.032,6.9383796,46.57302232
