"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2018-03-14,2590082.03944575,1169843.39627591,1296.97435,7.30900875,46.67973868,12.1
2018-03-15,2590082.15740021,1169843.12792498,1297.3119,7.3090103,46.67973627,11.9
2018-03-18,2590081.84821176,1169843.4446204,1296.931,7.30900625,46.67973911,11.8
2018-03-19,2590081.80890308,1169843.45319988,1296.8847,7.30900574,46.67973919,11.8
2018-03-20,2590081.75060366,1169843.45667743,1296.8886,7.30900497,46.67973922,11.9
2018-03-21,2590081.7104581,1169843.4584073,1296.8524,7.30900445,46.67973923,11.8
2018-03-22,2590081.66823283,1169843.47215718,1296.8664,7.3090039,46.67973936,12
2018-03-23,2590081.63575296,1169843.47320846,1296.84945,7.30900347,46.67973936,12
2018-03-24,2590081.59021903,1169843.4914041,1296.861,7.30900288,46.67973953,12.1
2018-03-25,2590081.54149679,1169843.47781548,1296.87155,7.30900224,46.6797394,12.1
2018-03-26,2590081.50573817,1169843.48387213,1296.8751,7.30900177,46.67973946,12.1
2018-03-27,2590081.48968205,1169843.49090442,1296.806,7.30900156,46.67973952,12.1
2018-03-28,2590081.85253699,1169843.56089131,1296.8095,7.3090063,46.67974016,12.1
2018-03-29,2590081.418454,1169843.50514643,1296.8156,7.30900063,46.67973965,12
2018-03-30,2590081.38390601,1169843.51075306,1296.7975,7.30900018,46.6797397,12.1
2018-04-04,2590081.21447758,1169843.53949828,1296.7979,7.30899796,46.67973995,12.2
2018-04-06,2590081.15016196,1169843.54962166,1296.751,7.30899712,46.67974004,12.2
2018-04-07,2590081.09656147,1169843.55953585,1296.73755,7.30899642,46.67974013,12.2
2018-04-08,2590081.08953927,1169843.54181854,1296.81235,7.30899633,46.67973997,12.3
2018-04-09,2590081.01492073,1169843.56846073,1296.76215,7.30899536,46.67974021,12.3
2018-04-10,2590080.98289012,1169843.57161022,1296.7327,7.30899494,46.67974024,12.3
2018-04-11,2590080.94474502,1169843.58581567,1296.71545,7.30899444,46.67974037,12.3
2018-04-13,2590080.86651597,1169843.59166436,1296.7014,7.30899341,46.67974042,12.4
2018-04-14,2590080.84753734,1169843.61019596,1296.68775,7.30899317,46.67974058,12.4
2018-04-15,2590080.8125191,1169843.60820074,1296.6968,7.30899271,46.67974057,12.4
2018-04-18,2590080.730378,1169843.62011807,1296.6731,7.30899163,46.67974067,12.5
2018-04-19,2590080.70357677,1169843.6281745,1296.6811,7.30899128,46.67974074,12.5
2018-04-20,2590080.68110683,1169843.62309481,1296.6719,7.30899099,46.6797407,12.5
2018-04-21,2590080.65831814,1169843.63035912,1296.6621,7.30899069,46.67974076,12.6
2018-04-22,2590080.64119208,1169843.63761304,1296.66045,7.30899047,46.67974083,12.6
2018-04-23,2590080.61633382,1169843.63910622,1296.6548,7.30899014,46.67974084,12.8
2018-04-24,2590080.60494355,1169843.64443658,1296.6376,7.30899,46.67974089,12.9
2018-04-25,2590080.63808425,1169843.60899269,1296.746,7.30899043,46.67974057,13.1
2018-04-26,2590080.56792,1169843.65263138,1296.6426,7.30898951,46.67974096,13
2018-04-27,2590080.54995269,1169843.66022168,1296.6375,7.30898928,46.67974103,13.05
2018-04-29,2590080.52494346,1169843.64675356,1296.6285,7.30898895,46.67974091,13.4
2018-04-30,2590080.52201567,1169843.65448594,1296.65265,7.30898891,46.67974098,13.2
2018-05-01,2590080.50971561,1169843.6646265,1296.6547,7.30898875,46.67974107,13.15
2018-05-02,2590080.48428724,1169843.6479909,1296.5839,7.30898842,46.67974092,13.1
2018-05-03,2590080.48856441,1169843.66233056,1296.63665,7.30898847,46.67974105,12.95
2018-05-04,2590080.47227079,1169843.66623974,1296.6213,7.30898826,46.67974108,13.15
2018-05-05,2590080.45530119,1169843.65782631,1296.6422,7.30898804,46.67974101,13.25
2018-05-06,2590080.45181309,1169843.66689238,1296.63775,7.30898799,46.67974109,13.25
2018-05-07,2590080.43969784,1169843.65662082,1296.6277,7.30898783,46.679741,13
2018-05-08,2590080.4282671,1169843.65764604,1296.6183,7.30898769,46.679741,13.35
2018-05-10,2590080.44886006,1169843.62342606,1296.717,7.30898796,46.6797407,13
2018-05-11,2590080.8831306,1169843.55522131,1296.9208,7.30899364,46.67974009,13.2
2018-05-12,2590080.3984826,1169843.65453282,1296.69955,7.3089873,46.67974097,13.25
2018-05-13,2590080.38383265,1169843.69107719,1296.579,7.3089871,46.67974131,13.2
2018-05-14,2590080.38364926,1169843.67949293,1296.6014,7.3089871,46.6797412,13.15
2018-05-15,2590080.38649182,1169843.68473088,1296.602,7.30898714,46.67974125,13.2
2018-05-17,2590080.34378483,1169843.67968591,1296.5722,7.30898658,46.6797412,13.15
2018-05-18,2590080.34823763,1169843.685456,1296.60675,7.30898664,46.67974125,13.15
2018-05-19,2590080.34138169,1169843.68524609,1296.5821,7.30898655,46.67974125,13.1
2018-05-20,2590080.33901949,1169843.68697293,1296.5885,7.30898652,46.67974127,13.15
2018-05-21,2590080.3339294,1169843.68486803,1296.60055,7.30898645,46.67974125,13.2
2018-05-22,2590080.32322699,1169843.6900555,1296.6159,7.30898631,46.67974129,13.1
2018-05-23,2590080.3109827,1169843.68952713,1296.6319,7.30898615,46.67974129,13.1
2018-05-24,2590080.33468831,1169843.68353894,1296.5831,7.30898646,46.67974124,13.1
2018-05-25,2590080.30884207,1169843.68784414,1296.592,7.30898612,46.67974127,13.1
2018-05-26,2590080.30299327,1169843.68758375,1296.58895,7.30898605,46.67974127,13.3
2018-05-27,2590080.30428774,1169843.68881856,1296.5892,7.30898606,46.67974128,13.15
2018-05-28,2590080.29847701,1169843.69365794,1296.6008,7.30898599,46.67974133,13.1
2018-05-29,2590080.29534008,1169843.69288621,1296.5957,7.30898595,46.67974132,12.9
2018-05-30,2590081.38903547,1169843.21699038,1296.4804,7.30900025,46.67973706,13.2
2018-05-31,2590080.28487869,1169843.68023037,1296.5928,7.30898581,46.67974121,13.05
2018-06-01,2590080.36630495,1169843.63764142,1296.72005,7.30898688,46.67974082,13.05
2018-06-03,2590080.27172516,1169843.68425212,1296.5697,7.30898564,46.67974124,13.1
2018-06-04,2590080.1446502,1169843.32394898,1296.63565,7.30898399,46.679738,13.05
2018-06-05,2590081.17605435,1169843.02530434,1297.5857,7.30899747,46.67973533,13
2018-06-08,2590080.23547979,1169843.92682295,1296.69345,7.30898516,46.67974342,12.95
2018-06-09,2590080.22517075,1169843.71667461,1296.5674,7.30898503,46.67974153,13
2018-06-10,2590080.2233395,1169843.71306871,1296.56975,7.30898501,46.6797415,13
2018-06-11,2590080.22606407,1169843.69555781,1296.5208,7.30898504,46.67974134,13.1
2018-06-12,2590080.2218958,1169843.71711978,1296.5512,7.30898499,46.67974154,12.95
2018-06-13,2590080.21776033,1169843.71368395,1296.5735,7.30898493,46.67974151,12.85
2018-06-14,2590080.21508533,1169843.71697521,1296.56265,7.3089849,46.67974154,13.1
2018-06-15,2590080.20827441,1169843.71759988,1296.5759,7.30898481,46.67974154,12.95
2018-06-17,2590080.18914273,1169843.53153459,1296.58765,7.30898456,46.67973987,12.85
2018-06-18,2590080.01905661,1169843.3462804,1296.4539,7.30898234,46.6797382,12.9
2018-06-19,2590080.20220035,1169843.69981947,1296.5949,7.30898473,46.67974138,12.95
2018-06-20,2590080.20595492,1169843.70275825,1296.57245,7.30898478,46.67974141,13
2018-06-21,2590080.19137306,1169843.72307189,1296.5209,7.30898459,46.67974159,13
2018-06-22,2590080.18790444,1169843.70612466,1296.5478,7.30898454,46.67974144,13.05
2018-06-23,2590080.18145244,1169843.71214359,1296.56085,7.30898446,46.67974149,13.1
2018-06-24,2590079.87752355,1169844.27131411,1296.4265,7.30898047,46.67974652,13.1
2018-06-25,2590080.17268845,1169843.71276437,1296.56905,7.30898434,46.6797415,13.1
2018-06-26,2590080.16634372,1169843.71655347,1296.5722,7.30898426,46.67974153,13.05
2018-06-27,2590080.16512937,1169843.72139132,1296.56885,7.30898425,46.67974157,13.05
2018-06-29,2590080.16006587,1169843.71717412,1296.57705,7.30898418,46.67974154,13.15
2018-06-30,2590080.16112656,1169843.71255963,1296.5642,7.30898419,46.6797415,13.15
2018-07-01,2590080.16007633,1169843.71878731,1296.57425,7.30898418,46.67974155,13.15
2018-07-02,2590080.15240898,1169843.70940655,1296.57365,7.30898408,46.67974147,13.25
2018-07-03,2590080.14629016,1169843.712919,1296.5303,7.308984,46.6797415,13.2
2018-07-04,2590080.14508247,1169843.72059019,1296.5571,7.30898398,46.67974157,13.25
2018-07-05,2590080.14421612,1169843.7282109,1296.56715,7.30898397,46.67974164,13.15
2018-07-06,2590076.7386945,1169840.79874278,1299.2118,7.30893952,46.67971523,13.15
2018-07-07,2590080.13480244,1169843.72772397,1296.5588,7.30898385,46.67974163,13.25
2018-07-08,2590080.13674097,1169843.7244951,1296.5411,7.30898387,46.6797416,13.3
2018-07-09,2590080.12995865,1169843.7366804,1296.5398,7.30898378,46.67974171,13.6
2018-07-11,2590080.1342438,1169843.73678449,1296.53285,7.30898384,46.67974171,13.45
2018-07-12,2590080.12495703,1169843.72095842,1296.5763,7.30898372,46.67974157,13.3
2018-07-13,2590080.1230713,1169843.73602372,1296.5385,7.3089837,46.67974171,13.25
2018-07-14,2590080.12115891,1169843.73691783,1296.5496,7.30898367,46.67974171,13.1
2018-07-15,2590080.12170615,1169843.74075308,1296.53925,7.30898368,46.67974175,13.1
2018-07-16,2590080.11649991,1169843.73664463,1296.5323,7.30898361,46.67974171,13.25
2018-07-17,2590080.12030544,1169843.72584975,1296.5526,7.30898366,46.67974161,13.25
2018-07-18,2590080.11984156,1169843.72850946,1296.5428,7.30898365,46.67974164,13.15
2018-07-19,2590080.11479001,1169843.7195805,1296.5381,7.30898359,46.67974156,13.2
2018-07-20,2590080.1174173,1169843.72853495,1296.5456,7.30898362,46.67974164,13.1
2018-07-21,2590080.11714999,1169843.72419627,1296.5418,7.30898362,46.6797416,13.2
2018-07-23,2590080.1183133,1169843.72702834,1296.52785,7.30898363,46.67974162,13.2
2018-07-24,2590080.12046883,1169843.73474983,1296.506,7.30898366,46.67974169,13.25
2018-07-25,2590080.11097059,1169843.72865287,1296.5112,7.30898354,46.67974164,13.2
2018-07-27,2590080.14617732,1169843.73548619,1296.5336,7.308984,46.6797417,13.4
2018-07-28,2590079.80293561,1169843.7499538,1296.79235,7.30897951,46.67974183,13.2
2018-07-29,2590080.0985805,1169843.73122997,1296.5437,7.30898338,46.67974166,13.15
2018-07-30,2590080.09634855,1169843.72322788,1296.5501,7.30898335,46.67974159,13.2
2018-08-01,2590080.08147029,1169843.72173689,1296.54795,7.30898315,46.67974158,13.05
2018-08-02,2590080.07943507,1169843.72058984,1296.5523,7.30898313,46.67974157,13.1
2018-08-03,2590080.07986903,1169843.72408642,1296.5526,7.30898313,46.6797416,13.15
2018-08-04,2590080.07760326,1169843.72292599,1296.54735,7.3089831,46.67974159,13.1
2018-08-05,2590080.07642438,1169843.726316,1296.54935,7.30898309,46.67974162,13.15
2018-08-06,2590080.08027558,1169843.71820014,1296.5183,7.30898314,46.67974154,13.2
2018-08-07,2590080.07439778,1169843.72782306,1296.5468,7.30898306,46.67974163,13.25
2018-08-08,2590080.08927141,1169843.72329711,1296.5719,7.30898325,46.67974159,13.05
2018-08-09,2590080.07432756,1169843.73160355,1296.51105,7.30898306,46.67974166,12.9
2018-08-10,2590080.07539353,1169843.72938092,1296.5699,7.30898307,46.67974164,13
2018-08-11,2590080.07322438,1169843.71087347,1296.5639,7.30898304,46.67974148,13.2
