"Date","Easting","Northing","Elevation","Longitude","Latitude"
2019-07-12,2640816.32434226,1111975.1232545,2849.7299,7.96701354,46.15802113
2019-07-13,2640816.31958762,1111975.11733088,2849.735,7.96701348,46.15802108
2019-07-15,2640816.31727763,1111975.11898534,2849.7351,7.96701345,46.15802109
2019-07-16,2640816.31569975,1111975.11853341,2849.7347,7.96701343,46.15802109
2019-07-17,2640816.31511392,1111975.11735216,2849.74115,7.96701342,46.15802108
2019-07-18,2640816.31348796,1111975.11695425,2849.7377,7.9670134,46.15802107
2019-07-19,2640816.31295582,1111975.11595014,2849.7338,7.96701339,46.15802106
2019-07-20,2640816.31404067,1111975.11261368,2849.7314,7.9670134,46.15802103
2019-07-21,2640816.31319916,1111975.11473254,2849.734,7.96701339,46.15802105
2019-07-22,2640816.30971923,1111975.11325104,2849.7327,7.96701335,46.15802104
2019-07-23,2640816.30909675,1111975.11224173,2849.7376,7.96701334,46.15802103
2019-07-24,2640816.30910049,1111975.11202356,2849.7391,7.96701334,46.15802103
2019-07-25,2640816.30599062,1111975.11246198,2849.73215,7.9670133,46.15802103
2019-07-26,2640816.30726597,1111975.11190876,2849.7306,7.96701332,46.15802103
2019-07-27,2640816.30560015,1111975.10823673,2849.7298,7.96701329,46.158021
2019-07-28,2640816.30596695,1111975.1083375,2849.7312,7.9670133,46.158021
2019-07-29,2640816.30256501,1111975.1103426,2849.7218,7.96701326,46.15802101
2019-07-30,2640816.30228444,1111975.10776609,2849.7349,7.96701325,46.15802099
2019-07-31,2640816.30159743,1111975.10675003,2849.728,7.96701324,46.15802098
2019-08-01,2640816.29832531,1111975.10650692,2849.7279,7.9670132,46.15802098
2019-08-02,2640816.30143844,1111975.10508882,2849.7234,7.96701324,46.15802097
2019-08-04,2640816.29781598,1111975.10594798,2849.72825,7.96701319,46.15802097
2019-08-05,2640816.29586307,1111975.10673184,2849.7181,7.96701317,46.15802098
2019-08-06,2640816.29465178,1111975.10683417,2849.7141,7.96701315,46.15802098
2019-08-07,2640816.29471332,1111975.10660041,2849.71465,7.96701315,46.15802098
2019-08-08,2640816.29317807,1111975.10403846,2849.7152,7.96701313,46.15802096
2019-08-10,2640816.28678138,1111975.10186658,2849.7037,7.96701305,46.15802094
2019-08-11,2640816.28783535,1111975.09677515,2849.7086,7.96701306,46.15802089
2019-08-12,2640816.28617237,1111975.09864908,2849.6993,7.96701304,46.15802091
2019-08-13,2640816.28328254,1111975.09651618,2849.7071,7.967013,46.15802089
2019-08-14,2640816.28404605,1111975.09552871,2849.7196,7.96701301,46.15802088
2019-08-15,2640816.28466255,1111975.09751665,2849.717,7.96701302,46.1580209
2019-08-16,2640816.2811121,1111975.09639619,2849.7139,7.96701298,46.15802089
2019-08-17,2640816.28164648,1111975.0962897,2849.7122,7.96701298,46.15802089
2019-08-18,2640816.27984871,1111975.09449757,2849.713,7.96701296,46.15802087
